station_number,station_name,station_short_name,station_type,cdec_id,site_code,latitude,longitude,lldatum,positional_accuracy,County
A85710,Alder Creek at Glenbrook,Alder Cr @ Glenbrook,Surface Water,,,38.851583,-122.757778,NAD83,Unknown,Lake
12N04E03N003M,"Am. Basin Well 1  mid-shall scrn 390-400,510-520 ft bgs",AB-1 Middle-Shallow,Groundwater,,389117N1215238W001,38.9116,-121.5238,NAD83,"GPS, 10m",Sutter
12N04E03N001M,American Basin Well 1 deep screen 950-970 ft bgs,AB-1 Deep,Groundwater,,389116N1215238W001,38.9116,-121.5238,NAD83,"GPS, 10m",Sutter
12N04E03N002M,American Basin Well 1 middle-deep screen 680-700 ft bgs,AB-1 Middle-Deep,Groundwater,,389116N1215238W002,38.9116,-121.5238,NAD83,"GPS, 10m",Sutter
12N04E03N004M,American Basin Well 1 shallow screen 170-180 ft bgs,AB-1 Shallow,Groundwater,,389116N1215238W003,38.9116,-121.5238,NAD83,"GPS, 10m",Sutter
12N04E26J002M,American Basin Well 2 deep screen 670-690 ft bgs,AB-2 Deep,Groundwater,,388593N1214885W001,38.8594,-121.4885,NAD83,"GPS, 10m",Sutter
12N04E26J003M,"American Basin Well 2 mid screen 380-390,480-490 ft bgs",AB-2 Middle,Groundwater,,388593N1214885W002,38.8594,-121.4885,NAD83,"GPS, 10m",Sutter
12N04E26J004M,American Basin Well 2 shallow screen 135-145 ft bgs,AB-2 Shallow,Groundwater,,388593N1214885W003,38.8594,-121.4885,NAD83,"GPS, 10m",Sutter
10N04E27R002M,"American Basin Well 3 deep scrn 745-755,975-985 ft bgs",AB-3 Deep,Groundwater,,386864N1215222W001,38.6869,-121.5221,NAD83,"GPS, 10m",Sacramento
10N04E27R003M,American Basin Well 3 middle screen 470-490 ft bgs,AB-3 Middle,Groundwater,,386864N1215222W002,38.6869,-121.5221,NAD83,"GPS, 10m",Sacramento
10N04E27R004M,American Basin Well 3 shallow screen 190-210 ft bgs,AB-3 Shallow,Groundwater,,386864N1215222W003,38.6869,-121.5221,NAD83,"GPS, 10m",Sacramento
10N04E31M001M,American Basin Well 4 deep screen 1060-1070 ft bgs,AB-4 Deep,Groundwater,,386782N1215943W001,38.6783,-121.5943,NAD83,"GPS, 10m",Sacramento
10N04E31M002M,American Basin Well 4 middle-deep screen 795-815 ft bgs,AB-4 Middle-Deep,Groundwater,,386782N1215943W002,38.6783,-121.5943,NAD83,"GPS, 10m",Sacramento
10N04E31M003M,American Basin Well 4 mid-shallow screen 380-400 ft bgs,AB-4 Middle-Shallow,Groundwater,,386782N1215943W003,38.6783,-121.5943,NAD83,"GPS, 10m",Sacramento
10N04E31M004M,American Basin Well 4 shallow screen 170-190 ft bgs,AB-4 Shallow,Groundwater,,386782N1215943W004,38.6783,-121.5943,NAD83,"GPS, 10m",Sacramento
A07140,American River at Sacramento (H Street),AmericanR. @ Sac Hst,Surface Water,HST,,38.56861111,-121.4238889,NAD83,Unknown,Sacramento
A91812,Anderson Cr. near Anderson Springs,Anderson Cr nr Ander,Surface Water,,,38.774917,-122.755278,NAD83,Unknown,Lake
13N14W11B001M,Anderson Valley Well 1A screen 37-46 ft bgs,AV-1A,Groundwater,,390047N1233685W001,39.0047,-123.3685,NAD83,"Survey, 1m",Mendocino
13N14W11B002M,Anderson Valley Well 1B screen 138-167 ft bgs,AV-1B,Groundwater,,390047N1233685W002,39.0047,-123.3685,NAD83,"Survey, 1m",Mendocino
A0452050,Antelope Creek near Mouth near Red Bluff,ANTELOPE C NR MO,Water Quality,,,40.10317,-122.11678,NAD83,Unknown,Tehama
A45111,Antelope Crk nr Red Bluff abv all div,ATC,Surface Water,ATC,,0,0,,Unknown,Tehama
C0760000,Arroyo Pasajero at El Dorado Avenue,EDA,Surface Water,,,36.166954,-120.209976,NAD83,Unknown,Fresno
Z41385,Arroyo Simi C A New Los Angeles Ave,MPK SRO,Not known,MPK,Z4-1385,34.27847,-118.87175,NAD83,Unknown,Ventura
A18350,Ash Creek at Adin,Ash Cr @ Adin,Surface Water,ACR,,41.198118,-120.943375,NAD83,Unknown,Modoc
A5369110,Bailey Creek at Highway 36,Bailey C A Hwy 36,Water Quality,,,40.3044,-121.1463,,Unknown,Plumas
A4708000,Battle Creek at Bridge,BATTLE C A BR,Water Quality,,,40.39198,-122.17859,NAD83,Unknown,Shasta
A4730000,Battle Creek South Fork near Mineral,Battle C SF NR Min,Water Quality,,,40.351389,-121.66361,NAD83,Unknown,Tehama
A47190,"Battle Creek, North Fork, near Manton","Battle Cr, N Fork, n",Surface Water,BNF,,40.424319,-121.986931,NAD83,Unknown,Tehama
A47115,"Battle Creek, South Fork, near Manton","Battle Cr, S Fork, n",Surface Water,BAS,,40.405802,-121.980678,NAD83,Unknown,Tehama
Y93050,Bautista CR A Bautista RD,HMT SRO,Surface Water,HMT,Y9-3050,33.698602,-116.852792,NAD83,Unknown,Riverside
B05525,Bear Creek at Mckee Road near Merced,Bear Cr @ Mckee Road,Surface Water,,,37.311608,-120.446022,NAD83,1/250000,Merced
B05570,Bear Creek below Bear Reservoir near Planad,Bear Cr blw Bear Res,Surface Water,,,37.358273,-120.236015,NAD83,1/250000,Merced
B05516,Bear Creek below Eastside Canal,Bear Cr blw Eside Ca,Surface Water,BSD,,37.2544,-120.7219,NAD83,"GPS, 10m",Merced
A0407000,Bear Creek near Anderson,BEAR C NR ANDERSON,Water Quality,,,40.44813,-122.19724,NAD83,Unknown,Shasta
A8125000,Bear Creek near Rumsey,Bear Cr. nr Rumsey,Water Quality,,,38.94425,-122.34505,NAD83,Unknown,Colusa
A81250,Bear Creek near Rumsey,Bear Cr. nr Rumsey,Surface Water,,,38.945722,-122.346917,NAD83,Unknown,Colusa
